,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,star_tessid,twomass,gaiaid,sector,magnitude,luminosity,metallicity,distance,star_mass,star_radius,constellation,rightascension,declination
25,00141334293-01,141334293,1,2,3137.0,4.438,29.5653,-1.0,9.22564,-1.0,0.0845073,32.5269,0.187216,1.0,8494.61,-1.0,7.5,1350.8,-1.0,0.590064,0.1,9.1087,5.74444,2,16.5981,21.6444,20.4124,319.915,2.47548,141334293,05352133-7553292,4.648202075194727e+18,s0005,12.7255,DWARF,,,0.42193800000000004,0.42731199999999997,Mensa,83.83882977,-75.89147104
27,00141335886-01,141335886,1,6,3331.0,4.438,18.8299,0.00368216,1.5274299999999998,0.28120100000000003,0.013991299999999998,17.7545,0.138587,1.0,201.553,37.8122,5.76445,1328.48,0.00656295,0.164451,0.723258,8.52478,5.12222,3,5.36105,15.6031,14.82,394.826,5.74308,141335886,05344480-7344284,4.650354712809914e+18,s0001,3.5003,GIANT,,310.682,,143.851,Mensa,83.68659509,-73.74127767
33,00141413932-01,141413932,1,1,5424.0,4.42483,14.322,0.0066947000000000005,2.31292,1.21248,0.0214595,11.4386,0.113342,0.987275,537.014,85.7645,9.34229,1337.46,0.0125237,0.216295,0.304007,1.95619,-2.05417,4,0.25911,8.30333,6.4589300000000005,706.3739999999998,58.8381,141413932,05375367-7726493,4.647997222433206e+18,s0002,11.1162,DWARF,,184.987,0.96,0.9219649999999999,Mensa,84.47368780000001,-77.44706575
34,00141435705-01,141435705,1,2,7369.0,4.02082,0.234306,1.2123e-05,3.30842,1.56019,0.0144717,4.32026,0.0,2.09411,228.849,28.1648,0.393719,1325.5,0.00058903,0.0066758,0.384209,8.32974,0.07081,240,184.849,8.80879,3.5905400000000003,0.0,0.0,141435705,05393247-7601591,4.648185067124279e+18,s0001,9.343,DWARF,,290.465,1.7,1.96954,Mensa,84.88530374,-76.03307571
36,00141484981-01,141484981,1,2,8130.0,4.36343,0.337461,1.33765e-05,2.1631,0.34975100000000003,0.0129132,2.77359,0.0119236,1.53441,186.197,16.3957,0.96378,1325.53,0.000750425,0.012868200000000002,4.7781e-05,12.9413,0.16801,166,96.971,12.2619,2.82071,4069.57,64821.2,141484981,05491024-7336577,4.650219988274734e+18,s0005,9.1481,DWARF,,260.277,1.9,1.8043900000000002,Mensa,87.29265802,-73.61605175
38,00141526439-01,141526439,1,1,3609.0,4.7301400000000005,52.9183,0.0165697,2.06733,0.611583,0.036941,27.9398,0.22121,0.512624,1609.14,189.436,15.0062,1327.17,0.0121431,0.534884,0.0113748,1.8421,-1.65972,2,0.09339,9.92329,8.55219,242.424,0.8162510000000001,141526439,05482755-7617418,4.648350200026113e+18,s0001,11.7629,DWARF,,68.4453,0.5421229999999999,0.5465300000000001,Mensa,87.11495117,-76.29497115
39,00141527579-01,141527579,1,1,3570.0,4.83196,15.0887,0.00237463,1.85964,1.80085,0.040081,57.8886,0.0914471,0.425,1892.02,284.994,2.0708900000000003,1328.94,0.00447033,0.0798334,0.0165767,2.77907,-3.00833,4,2.35458,7.324389999999998,4.68724,339.601,3.1434,141527579,05505661-7637132,4.647922867959139e+18,s0001,12.1293,DWARF,,63.3731,0.469549,0.471842,Mensa,87.73613394,-76.6202899
40,00141606958-01,141606958,1,2,5204.23,4.77007,0.68779,4.03848e-05,1.70243,0.871337,0.0185252,1.97778,0.017550299999999998,0.841791,390.785,44.0252,2.5702700000000003,1325.73,0.00156295,0.0647172,0.472147,10.0132,0.33915,82,71.0485,7.48128,6.4214699999999985,1590.41,1512.0,141606958,05542251-7240348,4.650692262869783e+18,s0001,10.2448,DWARF,0.0294711,100.405,0.88,0.795225,Mensa,88.59376373,-72.67636545
42,00141607553-01,141607553,1,1,5993.82,4.3939,23.0009,0.00383591,4.55039,1.37988,0.0389419,61.0852,0.160191,1.07036,1740.42,215.733,2.92279,1348.12,0.00331109,0.114772,0.217016,4.64559,1.29583,2,0.06767999999999999,9.78358,7.24593,683.6619999999998,51.6282,141607553,05545182-7317183,4.650559840448014e+18,s0001,9.8205,DWARF,-0.14646800000000001,148.069,1.1,1.14191,Mensa,88.71595745,-73.28845667
43,00141608198-01,141608198,1,1,3275.0,4.438,9.01014,0.000985399,7.0510600000000005,1.13802,0.06458799999999999,30.4958,0.0847832,1.0,4415.46,388.959,1.87026,1329.82,0.00336206,0.1968,0.668773,3.22214,-1.25555,6,3.07266,12.3134,6.43091,496.305,14.3389,141608198,05555049-7359046,4.650160717726371e+18,s0005,12.5395,DWARF,,42.8091,0.311261,0.330146,Mensa,88.96058444,-73.98468879999999
